,mean_distance_noisy_all,mean_distance_denoised_all,mean_distance_aug_denoised_all,std_distance_noisy_all,std_distance_denoised_all,std_distance_aug_denoised_all
0,1.2135874361582983,0.4225403959119701,0.38838876187772753,0.018127856936490723,0.012451459847860308,0.01145146468169208
1,1.6657551535397885,0.8687616179229639,0.7064458436359422,0.012574038865784782,0.02468495822788439,0.010866795315974863
2,1.7910298726562206,1.0289114615403898,0.8295614835194423,0.009182888875339778,0.011482272461333345,0.014000241920246487
3,1.8464460808522034,1.0530806717121692,0.9404554332901531,0.008884828573125928,0.006345162614747934,0.027698104488201425
4,1.8800186347541723,1.0596491689943763,1.000414746031979,0.009759801308439033,0.0047350258335634434,0.020667376066585662
5,1.9014814846127308,1.0636938523093797,1.0184657848822438,0.010536295484503928,0.004215717484722478,0.012427352361272336
6,1.9150214120378921,1.0660000489677615,1.024346855082797,0.009069570800591842,0.003551580483589193,0.00796864554242676
7,1.9254072795790196,1.0666195606192546,1.0272029874392805,0.009330189356265508,0.0034313830342564285,0.0057670262445278795
8,1.9381373565715003,1.0683980002088536,1.028869969300253,0.009990311999712911,0.0027804401773612345,0.004431018276605653
9,1.9431882746593119,1.0683913697189782,1.0297270795927551,0.00905833985076603,0.0028908464831575503,0.003997908321993057
