,mean_distance_noisy_all,mean_distance_denoised_all,mean_distance_aug_denoised_all,std_distance_noisy_all,std_distance_denoised_all,std_distance_aug_denoised_all
0,1.7877702184075803,1.7877702184075799,0.9763525803533669,0.036222138990345994,0.036222138990345924,0.16752887456591467
1,1.786125949463314,1.302120997621937,0.7578076389113306,0.02141076656849021,0.026220756091809256,0.04110384089189186
2,1.786757870936931,1.0943254601124242,0.7677664881958454,0.014442629941400189,0.02152079617970598,0.011693560986617292
3,1.7874747825189616,0.9820059085216093,0.7842681427548541,0.01128240575146413,0.02088638360306586,0.009240698419611436
4,1.7866557930419587,0.8987880314881839,0.7916526514269658,0.007084034879396345,0.012676525902201793,0.0061498226225524776
5,1.7867974213145248,0.848786948443813,0.7957412069030841,0.004405056996622172,0.005211980057053031,0.003876028608168945
6,1.7876276878582433,0.8251186593043438,0.7984649108256832,0.0031324567299519297,0.0034619506667201345,0.0027711763069429097
7,1.7872829175306495,0.8123406630360814,0.7991451315866591,0.0022729958998206298,0.0022364219236260816,0.002019748357864256
8,1.7873770240424378,0.8063453672159426,0.7997261964353177,0.0015904649140200703,0.0014836353271237223,0.0014204967129725385
9,1.7875531186117382,0.8034457758494027,0.8001217790995895,0.001100522424319385,0.0010216109630873556,0.0009870227027271997
10,1.7873375208030666,0.8017070910916934,0.8000516115801034,0.000614523606598975,0.0005558465664461454,0.0005495836213795602
11,1.7873792585759956,0.8009782643297139,0.8001511537320192,0.0001344654257979685,0.00013507120963770212,0.00012259363613159125
